pass1_rank,candidate_id,pass1_score,professional_band,band_id,subtype,current_title,years_experience,current_company,location,open_to_work,days_since_active,response_rate,notice_period_days,willing_to_relocate,retrieval_raw,ranking_raw,evaluation_raw,production_raw,ownership_raw,skill_corroboration,positive_evidence,negative_evidence,risk_flags
13,CAND_0086022,529.740000,senior_relevance_owner,5,search_ranking,Senior Applied Scientist,5.3,Sarvam AI,"Kolkata, West Bengal",True,47,0.550,0,True,1.7542,3.0200,3.6097,3.2323,3.6408,2.8500,Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Vector Search assessment 92.7/100,,weak:skill_duration_overrun
14,CAND_0093547,529.100000,senior_relevance_owner,5,search_ranking,Senior Machine Learning Engineer,2.9,PhonePe,"Coimbatore, Tamil Nadu",False,52,0.750,60,False,1.4400,2.5921,1.4808,1.6846,2.4750,0.9000,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration.,not marked open to work,weak:skill_duration_overrun | weak:repeated_role_description
15,CAND_0080766,529.028000,senior_relevance_owner,5,recommendation,Staff Machine Learning Engineer,8.8,Salesforce,"Coimbatore, Tamil Nadu",False,53,0.660,0,True,1.4134,2.4188,2.2969,3.9805,2.7607,0.6000,Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. | Weaviate assessment 84.5/100,not marked open to work,
16,CAND_0007411,528.596000,senior_relevance_owner,5,search_ranking,Senior Machine Learning Engineer,8.0,Amazon,"Kochi, Kerala",False,181,0.120,15,True,1.4400,2.1721,1.6800,2.3588,2.4750,2.2500,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | Vector Search assessment 91.3/100,not marked open to work | inactive for 181 days at the fixed reference date,
17,CAND_0094759,528.588000,senior_relevance_owner,5,relevance_ownership,Lead AI Engineer,8.6,Meta,"Mumbai, Maharashtra",False,144,0.110,30,True,1.2602,2.6000,3.4296,3.9851,4.0154,2.7000,Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. | Hugging Face Transformers assessment 80.5/100,not marked open to work | inactive for 144 days at the fixed reference date,weak:repeated_role_description
18,CAND_0060072,528.580000,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,5.7,Amazon,"Indore, Madhya Pradesh",False,128,0.100,90,True,0.3400,3.6000,1.9200,3.4166,2.7153,1.5000,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. | Sentence Transformers assessment 61.7/100",not marked open to work | inactive for 128 days at the fixed reference date | 90-day notice period,weak:activity_before_signup | weak:skill_duration_overrun | weak:repeated_role_description
19,CAND_0041611,528.556000,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,6.4,Locobuzz,Austin,False,180,0.070,30,True,2.3342,3.3400,4.5502,4.2323,3.9015,0.4500,Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.,not marked open to work | inactive for 180 days at the fixed reference date,weak:activity_before_signup | weak:skill_duration_overrun
20,CAND_0092278,528.556000,senior_relevance_owner,5,search_ranking,Senior NLP Engineer,6.8,Microsoft,"Pune, Maharashtra",False,206,0.070,90,False,1.2602,4.4005,3.0154,3.6336,3.0550,1.0500,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. | TensorFlow assessment 66.6/100",not marked open to work | inactive for 206 days at the fixed reference date | 90-day notice period,weak:repeated_role_description
21,CAND_0061257,525.996000,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,8.0,LinkedIn,"Noida, Uttar Pradesh",True,46,0.870,30,False,0.7214,1.8202,1.0000,1.7600,2.5745,0.4500,"Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users.",,
22,CAND_0006567,525.932000,senior_relevance_owner,5,relevance_ownership,Senior AI Engineer,7.9,Meta,"Noida, Uttar Pradesh",True,29,0.790,60,True,2.1414,1.1460,0.5800,1.9200,2.7588,1.8000,Built systems that understand what users are looking for and connect them to the most relevant matches across a large dataset. | scikit-learn assessment 89.9/100,,
23,CAND_0030468,525.924000,senior_relevance_owner,5,relevance_ownership,Senior Applied Scientist,5.4,Swiggy,"Indore, Madhya Pradesh",True,29,0.780,45,True,1.5932,0.9617,0.5800,3.2321,1.9200,1.6500,"Most of the technical effort went into the boring-but-essential parts: index refresh, query understanding, ranking calibration, and the dashboards that made the system's behavior legible to product and business teams. | Sentence Transformers assessment 97.0/100",,weak:skill_duration_overrun | weak:repeated_role_description
24,CAND_0037980,525.804000,senior_relevance_owner,5,search_ranking,Senior Applied Scientist,9.0,Niramai,"Kolkata, West Bengal",True,65,0.630,0,True,0.5614,2.1046,1.8202,3.0569,2.5745,0.6000,"Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. | Vector Search assessment 72.2/100",,weak:repeated_role_description
25,CAND_0061265,430.052000,direct_search_ranking,4,semantic_search,Recommendation Systems Engineer,6.6,Zoho,"Delhi, Delhi",True,68,0.940,120,False,1.9942,3.2788,2.0046,2.5000,2.7778,0.6000,Developed a semantic search feature for an internal knowledge base of ~500K documents. | Qdrant assessment 85.4/100,120-day notice period,
26,CAND_0064326,430.052000,direct_search_ranking,4,search_ranking,Search Engineer,7.6,Sarvam AI,"Gurgaon, Haryana",True,11,0.940,45,False,2.5142,3.3690,3.7125,1.0608,2.5742,2.2500,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Milvus assessment 75.5/100",,weak:repeated_role_description
27,CAND_0074225,430.028000,direct_search_ranking,4,search_ranking,Machine Learning Engineer,4.3,Unacademy,"Vizag, Andhra Pradesh",True,12,0.910,120,True,0.1000,2.4150,2.8161,1.3400,2.4188,1.0500,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Semantic Search assessment 89.2/100,120-day notice period,weak:skill_duration_overrun
28,CAND_0079064,430.028000,direct_search_ranking,4,semantic_search,Senior Data Scientist,5.2,Niramai,"Noida, Uttar Pradesh",True,49,0.910,120,False,1.5142,1.8600,1.9200,1.4808,2.0046,1.3500,Developed a semantic search feature for an internal knowledge base of ~500K documents. | OpenSearch assessment 57.5/100,120-day notice period,weak:skill_duration_overrun
29,CAND_0036184,430.020000,direct_search_ranking,4,semantic_search,Recommendation Systems Engineer,6.0,CRED,"Trivandrum, Kerala",True,6,0.900,30,False,2.3345,2.8950,1.5800,1.9200,1.5800,1.5000,Developed a semantic search feature for an internal knowledge base of ~500K documents. | Hugging Face Transformers assessment 67.9/100,,weak:skill_duration_overrun | weak:repeated_role_description
30,CAND_0061339,430.020000,direct_search_ranking,4,semantic_search,Search Engineer,4.2,Rephrase.ai,"Chandigarh, Chandigarh",True,56,0.900,90,True,1.5200,2.5745,2.2969,2.6521,2.3011,0.0000,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Information Retrieval assessment 51.8/100,90-day notice period,weak:activity_before_signup | weak:skill_duration_overrun | weak:repeated_role_description
31,CAND_0052682,430.004000,direct_search_ranking,4,semantic_search,NLP Engineer,6.6,Aganitha,"Vizag, Andhra Pradesh",True,65,0.880,30,False,0.1000,1.7542,1.9200,2.0721,2.0046,0.4500,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Semantic Search assessment 53.3/100,,
32,CAND_0019480,429.996000,direct_search_ranking,4,search_ranking,NLP Engineer,2.8,Meesho,"Chennai, Tamil Nadu",True,19,0.870,90,True,0.5800,2.5745,3.9968,1.9200,3.0550,0.0000,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | TensorFlow assessment 59.8/100,90-day notice period,weak:skill_duration_overrun | weak:repeated_role_description
33,CAND_0078002,429.988000,direct_search_ranking,4,search_ranking,Machine Learning Engineer,6.3,Meta,"Coimbatore, Tamil Nadu",True,41,0.860,60,False,0.0000,2.9142,4.0138,2.8400,2.4188,0.6000,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | pgvector assessment 80.2/100,,weak:skill_duration_overrun | weak:repeated_role_description
34,CAND_0020708,429.972000,direct_search_ranking,4,semantic_search,Search Engineer,4.2,PolicyBazaar,"Indore, Madhya Pradesh",True,68,0.840,30,False,2.1521,1.8600,1.4808,1.4808,1.0000,1.0500,Developed a semantic search feature for an internal knowledge base of ~500K documents. | NLP assessment 64.4/100,,weak:skill_duration_overrun
35,CAND_0040887,429.972000,direct_search_ranking,4,semantic_search,Machine Learning Engineer,4.7,Netflix,Toronto,True,8,0.840,15,False,1.4142,1.4400,1.5800,1.3400,2.0046,1.0500,Developed a semantic search feature for an internal knowledge base of ~500K documents. | FAISS assessment 70.8/100,,weak:skill_duration_overrun
36,CAND_0096142,429.972000,direct_search_ranking,4,search_ranking,Applied ML Engineer,5.0,upGrad,"Hyderabad, Telangana",True,11,0.840,120,False,0.0000,2.7153,3.1561,2.5935,1.9942,1.2000,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Weaviate assessment 85.7/100,120-day notice period,
37,CAND_0010685,429.964000,direct_search_ranking,4,search_ranking,NLP Engineer,6.7,Rephrase.ai,"Kolkata, West Bengal",True,77,0.830,30,False,2.4446,3.0766,3.1528,1.7607,3.1920,0.9000,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months.",,
38,CAND_0075249,429.956000,direct_search_ranking,4,semantic_search,Applied ML Engineer,6.2,Zomato,"Ahmedabad, Gujarat",True,53,0.820,45,False,1.0046,2.4342,1.5800,2.6521,2.0608,2.2500,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Sentence Transformers assessment 80.7/100,,
39,CAND_0053591,429.948000,direct_search_ranking,4,search_ranking,AI Engineer,5.3,Ola,Toronto,True,15,0.810,60,False,0.3400,1.7542,3.1561,1.5889,2.8996,0.9000,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.,,
40,CAND_0079387,429.948000,direct_search_ranking,4,semantic_search,AI Engineer,6.9,Microsoft,"Trivandrum, Kerala",True,37,0.810,30,False,0.8202,2.4756,1.8202,3.3690,2.2969,2.7000,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Sentence Transformers assessment 85.8/100,,
41,CAND_0065195,429.940000,direct_search_ranking,4,relevance_ownership,Search Engineer,5.1,CRED,"Kolkata, West Bengal",True,8,0.800,45,False,1.4200,0.4400,1.3400,1.5000,3.3729,0.0000,"Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control).",,weak:skill_duration_overrun
42,CAND_0018722,429.932000,direct_search_ranking,4,semantic_search,Recommendation Systems Engineer,6.6,Saarthi.ai,Toronto,True,38,0.790,90,True,1.9942,3.2788,2.3446,1.5889,2.3011,0.4500,Developed a semantic search feature for an internal knowledge base of ~500K documents.,90-day notice period,weak:repeated_role_description
43,CAND_0052328,429.932000,direct_search_ranking,4,recommendation,Recommendation Systems Engineer,6.5,Amazon,"Pune, Maharashtra",True,62,0.790,30,False,0.0000,2.0423,1.0000,1.5000,2.8921,1.0500,"Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). | OpenSearch assessment 65.7/100",,weak:skill_duration_overrun
44,CAND_0062247,429.924000,direct_search_ranking,4,semantic_search,AI Engineer,7.3,Google,"Kochi, Kerala",True,39,0.780,30,True,2.0942,2.8646,2.0046,1.3400,2.3011,0.4500,Developed a semantic search feature for an internal knowledge base of ~500K documents.,,
45,CAND_0069905,429.924000,direct_search_ranking,4,semantic_search,Applied ML Engineer,6.6,Sarvam AI,"Bhubaneswar, Odisha",True,41,0.780,90,True,2.2345,2.3017,2.1602,2.1689,2.4854,0.4500,Developed a semantic search feature for an internal knowledge base of ~500K documents.,90-day notice period,weak:repeated_role_description
46,CAND_0029367,429.916000,direct_search_ranking,4,semantic_search,Senior Data Scientist,5.7,Rephrase.ai,"Bangalore, Karnataka",True,12,0.770,90,False,2.2345,2.0200,1.8202,1.9200,2.0046,2.5500,Developed a semantic search feature for an internal knowledge base of ~500K documents. | MLflow assessment 87.7/100,90-day notice period,weak:salary_range_inverted | weak:skill_duration_overrun | weak:repeated_role_description
47,CAND_0041669,429.916000,direct_search_ranking,4,search_ranking,Recommendation Systems Engineer,8.0,CRED,"Noida, Uttar Pradesh",True,56,0.770,60,False,1.7214,3.5802,2.8923,1.4854,2.4188,1.2000,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | FAISS assessment 83.7/100",,
48,CAND_0050454,429.916000,direct_search_ranking,4,semantic_search,AI Engineer,6.8,Rephrase.ai,"Delhi, Delhi",True,35,0.770,30,True,2.4188,2.3446,2.5000,1.9200,2.3011,0.9000,Developed a semantic search feature for an internal knowledge base of ~500K documents. | PyTorch assessment 59.0/100,,weak:repeated_role_description
49,CAND_0010770,429.884000,direct_search_ranking,4,search_ranking,Recommendation Systems Engineer,15.2,Aganitha,"Kolkata, West Bengal",True,27,0.730,30,True,1.0046,3.5966,3.3961,1.9200,2.2345,0.4500,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.,,weak:repeated_role_description
50,CAND_0013613,429.884000,direct_search_ranking,4,semantic_search,Machine Learning Engineer,4.7,Adobe,Singapore,True,70,0.730,60,False,1.4142,2.9200,2.6369,2.5000,2.0046,1.6500,Developed a semantic search feature for an internal knowledge base of ~500K documents. | TensorFlow assessment 89.1/100,,weak:skill_duration_overrun
51,CAND_0018549,429.884000,direct_search_ranking,4,search_ranking,Recommendation Systems Engineer,6.8,Uber,"Coimbatore, Tamil Nadu",True,34,0.730,60,True,1.0000,3.5802,2.3121,1.3446,2.4750,1.2000,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Elasticsearch assessment 90.0/100",,
52,CAND_0017960,429.876000,direct_search_ranking,4,search_ranking,Recommendation Systems Engineer,7.7,Nykaa,"Bangalore, Karnataka",True,35,0.720,60,True,1.0200,3.3123,3.9968,2.1689,3.0550,0.0000,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.,,weak:repeated_role_description
53,CAND_0083307,429.860000,direct_search_ranking,4,relevance_ownership,Search Engineer,7.8,CRED,"Vizag, Andhra Pradesh",True,72,0.700,120,False,2.5246,1.4446,2.6408,1.2600,2.5523,1.3500,"Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control).",120-day notice period,weak:repeated_role_description
54,CAND_0058575,429.852000,direct_search_ranking,4,semantic_search,AI Engineer,5.8,Krutrim,"Chennai, Tamil Nadu",True,57,0.690,90,True,1.9942,1.4400,2.0608,2.8400,2.2969,0.4500,Developed a semantic search feature for an internal knowledge base of ~500K documents.,90-day notice period,weak:skill_duration_overrun
55,CAND_0011432,429.836000,direct_search_ranking,4,search_ranking,Senior Data Scientist,7.6,Amazon,"Chennai, Tamil Nadu",True,77,0.670,60,False,0.0000,2.5745,3.6568,1.9200,2.5742,0.4500,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | OpenSearch assessment 57.3/100,,weak:repeated_role_description
56,CAND_0050876,429.836000,direct_search_ranking,4,search_ranking,Applied ML Engineer,6.0,Freshworks,"Kolkata, West Bengal",True,6,0.670,90,False,1.0000,3.4531,2.6521,1.3446,1.9942,1.2000,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | FAISS assessment 81.1/100",90-day notice period,weak:skill_duration_overrun | weak:repeated_role_description
57,CAND_0040117,429.828000,direct_search_ranking,4,semantic_search,Recommendation Systems Engineer,6.5,PhonePe,"Vizag, Andhra Pradesh",True,76,0.660,15,False,0.0000,2.3150,1.9200,2.3209,2.0046,0.9000,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Embeddings assessment 53.2/100,,weak:skill_duration_overrun
58,CAND_0093912,429.828000,direct_search_ranking,4,search_ranking,Senior Data Scientist,5.3,Razorpay,"Chandigarh, Chandigarh",True,21,0.660,30,False,2.1600,3.2181,3.3729,1.0608,2.2345,1.0500,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Milvus assessment 75.4/100",,weak:skill_duration_overrun | weak:repeated_role_description
59,CAND_0091909,429.820000,direct_search_ranking,4,semantic_search,Machine Learning Engineer,6.9,Rephrase.ai,"Bangalore, Karnataka",True,75,0.650,45,True,0.0000,3.0945,2.2969,2.6521,1.8202,0.6000,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Image Classification assessment 89.5/100,,
60,CAND_0009691,429.812000,direct_search_ranking,4,semantic_search,Applied ML Engineer,6.2,LinkedIn,"Indore, Madhya Pradesh",True,16,0.640,120,True,0.3400,3.0945,1.9200,3.0766,2.0608,0.6000,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Recommendation Systems assessment 69.9/100,120-day notice period,weak:skill_duration_overrun | weak:repeated_role_description
61,CAND_0054394,429.812000,direct_search_ranking,4,semantic_search,Recommendation Systems Engineer,4.1,PharmEasy,"Pune, Maharashtra",True,28,0.640,30,False,1.9942,3.3196,2.3446,1.5889,1.8202,0.0000,Developed a semantic search feature for an internal knowledge base of ~500K documents.,,weak:skill_duration_overrun
62,CAND_0006557,429.804000,direct_search_ranking,4,search_ranking,NLP Engineer,7.9,Paytm,"Jaipur, Rajasthan",True,52,0.630,120,True,1.1000,2.8923,2.7929,1.4854,1.9942,1.8000,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Elasticsearch assessment 76.2/100",120-day notice period,
63,CAND_0007009,429.796000,direct_search_ranking,4,recommendation,Recommendation Systems Engineer,7.9,Wysa,"Noida, Uttar Pradesh",True,74,0.620,30,False,0.8202,2.6802,2.3011,1.0608,2.7366,0.9000,"Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control).",,weak:repeated_role_description
64,CAND_0098846,429.796000,direct_search_ranking,4,search_ranking,AI Engineer,7.6,upGrad,"Indore, Madhya Pradesh",True,39,0.620,45,True,1.5800,2.1721,2.6521,1.7489,2.7111,0.9000,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months.",,weak:repeated_role_description
65,CAND_0039383,429.788000,direct_search_ranking,4,search_ranking,Applied ML Engineer,7.1,Meesho,"Gurgaon, Haryana",True,74,0.610,90,True,1.1602,2.8588,3.6568,2.1602,2.7153,3.1500,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Hugging Face Transformers assessment 85.8/100,90-day notice period,weak:repeated_role_description
66,CAND_0044222,429.780000,direct_search_ranking,4,semantic_search,AI Engineer,7.7,PolicyBazaar,"Vizag, Andhra Pradesh",True,17,0.600,60,False,1.4142,2.5802,2.6369,1.9200,2.3011,0.4500,Developed a semantic search feature for an internal knowledge base of ~500K documents. | Vector Search assessment 52.4/100,,
67,CAND_0053695,429.780000,direct_search_ranking,4,search_ranking,Recommendation Systems Engineer,5.8,Meesho,"Bhubaneswar, Odisha",True,60,0.600,15,False,1.3446,3.5966,3.3961,1.9200,2.7153,0.4500,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.,,weak:skill_duration_overrun
68,CAND_0070398,429.780000,direct_search_ranking,4,semantic_search,Machine Learning Engineer,7.2,Genpact AI,"Kochi, Kerala",True,48,0.600,120,True,2.3345,2.4860,2.7607,2.4091,1.8202,2.1000,Developed a semantic search feature for an internal knowledge base of ~500K documents. | BM25 assessment 67.5/100,120-day notice period,weak:repeated_role_description
69,CAND_0031593,429.764000,direct_search_ranking,4,search_ranking,Search Engineer,7.8,Genpact AI,"Kolkata, West Bengal",True,74,0.580,90,True,2.4142,3.5531,2.5523,1.3446,2.4188,0.4500,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months.",90-day notice period,
70,CAND_0075574,429.764000,direct_search_ranking,4,search_ranking,Machine Learning Engineer,5.7,Haptik,"Bangalore, Karnataka",True,15,0.580,60,True,1.0000,3.4123,3.4928,1.0608,2.5742,1.8000,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | pgvector assessment 82.9/100",,weak:skill_duration_overrun
71,CAND_0001610,429.756000,direct_search_ranking,4,semantic_search,Machine Learning Engineer,3.0,Dream11,"Trivandrum, Kerala",True,50,0.570,90,True,1.8542,2.5000,2.2969,2.5000,2.4854,0.4500,Developed a semantic search feature for an internal knowledge base of ~500K documents.,90-day notice period,weak:skill_duration_overrun
72,CAND_0005649,429.756000,direct_search_ranking,4,semantic_search,Senior Data Scientist,7.4,Sarvam AI,"Delhi, Delhi",True,48,0.570,90,True,2.4756,2.4446,2.7607,2.8858,2.9015,1.8000,Developed a semantic search feature for an internal knowledge base of ~500K documents.,90-day notice period,
73,CAND_0028793,429.756000,direct_search_ranking,4,semantic_search,Search Engineer,7.2,Google,"Trivandrum, Kerala",True,49,0.570,120,True,2.2521,2.6802,2.9015,2.0608,2.1600,1.6500,Developed a semantic search feature for an internal knowledge base of ~500K documents. | Embeddings assessment 88.7/100,120-day notice period,
74,CAND_0077285,429.748000,direct_search_ranking,4,search_ranking,Recommendation Systems Engineer,5.5,Nykaa,"Ahmedabad, Gujarat",True,29,0.560,60,False,0.1000,2.6329,3.1561,2.7489,2.7111,0.9000,Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.,,weak:skill_duration_overrun
75,CAND_0095528,429.740000,direct_search_ranking,4,semantic_search,Senior Data Scientist,5.3,Netflix,"Indore, Madhya Pradesh",True,29,0.550,45,False,0.1000,2.3342,1.3400,3.2321,2.1600,1.8000,Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | pgvector assessment 86.8/100,,
76,CAND_0030348,429.732000,direct_search_ranking,4,semantic_search,Machine Learning Engineer,4.5,BYJU'S,"Noida, Uttar Pradesh",True,63,0.540,45,False,1.4142,2.5802,1.9200,2.3446,2.0608,0.9000,Developed a semantic search feature for an internal knowledge base of ~500K documents.,,weak:skill_duration_overrun
